Unnamed: 0,Unnamed: 0.1,user_id,session_no,session_question_no,learning_node_question_no,question_number_of_choice,is_new_session_id,is_new_topic,is_new_subtopic,is_new_learningnode,is_new_questionid,is_new_session_question_no,is_new_learning_node_question_no,row_id,is_new_session_id_n_new_topic,is_new_session_id_n_new_subtopic,is_new_session_id_n_new_learningnode,is_new_session_id_n_new_questionid,is_new_topic_n_new_subtopic,is_new_topic_n_new_learningnode,is_new_topic_n_new_questionid,is_new_subtopic_n_new_learningnode,is_new_subtopic_n_new_questionid,is_new_learning_node_n_questionid,question_type_Multi choice,question_type_Single choice,question_difficulty_easy,question_difficulty_hard,question_difficulty_hots,question_difficulty_medium,n_topic,n_subtopic,n_learningnode,n_questionid,prob_correct,n_prob_correct,behav_score,is_correct
0,0,2348875,2.0,2,2,4,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25,0.4708844,0.4708844
1,1,2766044,11.0,6,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25,0.48579347,0.48579347
2,2,3604867,4.0,8,2,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25,0.5664183,0.5664183
3,3,4061807,10.0,7,1,4,1,1,0,1,1,1,1,3,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25,0.45982754,0.45982754
4,4,5713467,3.0,9,3,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25,0.59834087,0.59834087
5,5,6725037,9.0,1,1,4,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25,0.49003366,0.49003366
6,6,8411515,1.0,4,1,4,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25,0.55728644,0.55728644
7,7,10105875,16.0,12,2,3,1,1,0,1,1,1,1,7,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.3333333333333333,0.3333333333333333,0.64957875,0.64957875
8,8,10434119,1.0,6,3,4,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25,0.5363158,0.5363158
9,9,11855819,1.0,6,3,4,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25,0.5363158,0.5363158
10,10,13836158,4.0,6,3,4,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25,0.5658669,0.5658669
11,11,14706019,1.0,4,2,4,1,1,0,1,1,1,1,11,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25,0.57493925,0.57493925
12,12,17368199,1.0,10,2,3,1,1,1,1,1,1,1,12,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.3333333333333333,0.3333333333333333,0.7972125,0.7972125
13,13,24245691,1.0,14,1,4,1,1,1,1,1,1,1,13,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25,0.5859383,0.5859383
14,14,26507933,6.0,5,1,4,1,1,1,1,1,1,1,14,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25,0.49912813,0.49912813
15,15,26781011,9.0,12,2,3,1,1,0,1,1,1,1,15,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.3333333333333333,0.3333333333333333,0.6509962,0.6509962
16,16,31096286,21.0,1,1,5,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2,0.36183172,0.36183172
17,17,31637172,9.0,9,3,5,1,1,1,1,1,1,1,17,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2,0.33910504,0.33910504
18,18,31784845,7.0,9,1,3,1,1,0,1,1,1,1,18,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.3333333333333333,0.3333333333333333,0.7393756,0.7393756
19,19,32907819,2.0,1,1,4,1,1,0,1,1,1,1,19,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25,0.45938876,0.45938876
20,20,33261029,4.0,14,2,3,1,0,0,1,1,1,1,20,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0.3333333333333333,0.3333333333333333,0.75630695,0.75630695
21,21,33329834,7.0,1,1,5,1,1,1,1,1,1,1,21,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2,0.52943337,0.52943337
22,22,35681497,1.0,2,1,3,1,1,0,1,1,1,1,22,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.3333333333333333,0.3333333333333333,0.7561569,0.7561569
23,23,36292087,14.0,8,2,4,1,1,0,1,1,1,1,23,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25,0.40597486,0.40597486
24,24,38791046,5.0,12,2,4,1,1,0,1,1,1,1,24,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25,0.64633256,0.64633256
25,25,39872536,3.0,1,1,4,1,1,1,1,1,1,1,25,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25,0.49851602,0.49851602
26,26,41319137,2.0,7,1,5,1,0,1,1,1,1,1,26,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0.2,0.2,0.4843536,0.4843536
27,27,42096182,1.0,2,1,5,1,1,0,1,1,1,1,27,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2,0.41896603,0.41896603
28,28,44990149,2.0,3,3,4,1,1,1,1,1,1,1,28,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25,0.5034477,0.5034477
29,29,46934439,2.0,2,1,5,1,1,1,1,1,1,1,29,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2,0.43052927,0.43052927
30,30,48494393,2.0,9,3,5,1,1,1,1,1,1,1,30,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2,0.46281627,0.46281627
